Sub/Nr,Title,Cr,Delivery,Instr,Schedule,Wkday,Loc,Wait List,Enrolled,Max Size,Curric ID,Supplement,CouStat,Dept,Level,FilterSubject,Bldg,GELS,Notes Export
ACCT-210 -01 000344,Financial Accounting,4, LCTR (SYNC),"Beltrand, Barbara A",08/27/2020–12/10/2020 6:00PM–9:20PM, H , ,Y,32,32,'00002118',Y,O,Accounting,Undergraduate,ACCT-Accounting,,,"Note: This ACCT 210 section&nbsp;is a synchronous (we&nbsp;meet together&nbsp;online&nbsp;via Zoom) course on&nbsp;Thursdays from 6:00 p.m. to 9:20 p.m.&nbsp;starting Aug. 27 and ending Dec. 10. The syllabus will be posted&nbsp;in D2L Brightspace&nbsp;by 6:00 p.m. on the&nbsp;Aug. 27.&nbsp;There will be no assignments in the publisher's online resources, so you need not purchase&nbsp;McGraw-Hill Connect&nbsp;unless you wish to use to&nbsp;those online&nbsp;learning&nbsp;tools&nbsp;as an additional study resource.&nbsp;To prepare for our 1st&nbsp;class session, read Chapter 1, take notes, and be prepared to work together on the major topics of the 1st&nbsp;chapter. Weekly projects will be take-home, open book and open notes, and collaboration with each other is encouraged. The exams will also be take-home, open book and open notes, but collaboration with others is prohibited. For Student Online Learning Resources go to&nbsp;www.metrosate.edu/solr&nbsp;|Online Participation Required First Week of Class.|Note: Read chapter one before first class meeting. This course has been converted to Completely Online-Synchronous."
ACCT-210 -50 000346,Financial Accounting,4, LCTR (AYSN),"Wilson, Michael Sean",08/22/2020–12/13/2020 –,, ,Y,32,32,'00002118',N,O,Accounting,Undergraduate,ACCT-Accounting,,,"Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Online Participation Required First Week of Class."
ACCT-210 -51 000349,Financial Accounting,4, LCTR (AYSN),"Wilson, Michael Sean",08/22/2020–12/13/2020 –,, ,Y,32,32,'00002118',N,O,Accounting,Undergraduate,ACCT-Accounting,,,"Note: This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Online Participation Required First Week of Class."
ACCT-210 -52 001116,Financial Accounting,4, LCTR (AYSN),"Ramirez-Quintero, Ramon ",08/22/2020–12/13/2020 –,, ,Y,30,32,'00002118',N,O,Accounting,Undergraduate,ACCT-Accounting,,,"Note: Read chapter one before first class meeting. This is a completely online course, not an independent study. Course has no required in-person or synchronous meetings. There are required online activities and assignments each week. May require remotely proctored exams that require a webcam and microphone. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.|Online Participation Required First Week of Class."
ACCT-210 -53 001250,Financial Accounting,4, LCTR (SYNC),"Feuerhelm, Shannon Lea",08/26/2020–12/09/2020 6:00PM–8:00PM, W , ,Y,32,32,'00002118',N,O,Accounting,Undergraduate,ACCT-Accounting,,,Online Participation Required First Week of Class.|Note: This ACCT 210 section is a synchronous (we meet together online via Zoom) course on Wednesdays from 6:00 p.m. to 8:00 p.m. starting Aug. 26 and ending Dec. 9. No in-person meetings. Read the first chapter before the first online Zoom meeting on August 26. There are required online activities and assignments each week. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.
ACCT-311 -01 000358,Intermediate Accounting I,4, LCTR (BLHY),"Wilson, Joel R",08/25/2020–12/01/2020 6:00PM–9:20PM, T , MDWY 107,Y,20,32,'00174479',Y,O,Accounting,Undergraduate,ACCT-Accounting,MDWY,,"Note: Download the syllabus from the course D2L site and do the assignment for week one. This course combines reduced classroom time with significant online work. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. Meeting dates: This course meets every other Tuesday, Aug. 25; Sept. 8, 22; Oct. 6, 21; Nov. 3, 17; Dec. 1.|Note: This course has been converted to Blended/Hybrid.|Online Participation Required First Week of Class."
ACCT-311 -02 000359,Intermediate Accounting I,4, LCTR (BLHY),"Wilson, Joel R",08/26/2020–12/09/2020 6:00PM–9:20PM, W , MDWY 154,Y,16,32,'00174479',N,O,Accounting,Undergraduate,ACCT-Accounting,MDWY,,"Note: Download the syllabus from the course D2L site and do the assignment for week one. This course combines reduced classroom time with significant online work. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. This course meets every other Wednesday, Aug. 26; Sept. 9, 23; Oct. 7, 21; Nov. 4, 18; Dec. 2.|Online Participation Required First Week of Class."
ACCT-311 -03 000360,Intermediate Accounting I,4, LCTR (BLHY),"Wilson, Joel R",08/26/2020–12/02/2020 1:00PM–4:20PM, W , MDWY P,Y,18,32,'00174479',Y,O,Accounting,Undergraduate,ACCT-Accounting,MDWY,,"Note: Download the syllabus from the course D2L site and do the assignment for week one. This course combines reduced classroom time with significant online work. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr. Meeting dates: This course meets every other Wednesday, Aug. 26; Sept. 9, 23; Oct. 7, 21; Nov. 4, 18; Dec. 2.|Note: This course has been converted to Blended/Hybrid.|Online Participation Required First Week of Class.|First day attendance is mandatory."
ACCT-312 -01 000361,Intermediate Accounting II,4, LCTR (AYSN),"Horn, David Kenneth",08/22/2020–12/13/2020 –,, ,Y,25,32,'00174472',Y,O,Accounting,Undergraduate,ACCT-Accounting,,,"Note: This course has been converted to Completely Online-Asynchronous.|Online Participation Required First Week of Class.|Note: Download the syllabus from the course D2L site and prepare the assignment for week one. This is a completely online course, not an independent study. The course has no required in-person or synchronous meetings. However, optional weekly online meetings will be held as an opportunity to ask questions and hold discussions with the instructor. There are required online activities and assignments each week. Intermediate computer/Internet skills required. For online learning and course access information go to&nbsp;www.metrostate.edu/solr.&nbsp;Online Participation Required First Week of Class."
ACCT-312 -02 001117,Intermediate Accounting II,4, LCTR (SYNC),"Nordeen, Scott L",08/26/2020–12/09/2020 6:00PM–9:20PM, W , ,Y,11,32,'00174472',Y,O,Accounting,Undergraduate,ACCT-Accounting,,,"Note: Download the syllabus from the course D2L site and prepare the assignment for week one. This is a synchronous (we&nbsp;meet together&nbsp;online&nbsp;via Zoom) course on&nbsp;Wednesdays from 7:00 p.m. to 8:30 p.m.&nbsp;starting 8/26/20 and ending 12/09/20. Refer to the course syllabus located in the Content section of the course D2L Web site and prepare the assignment for the first class meeting.This is a completely online course, not an independent study. Course has no required in-person meetings. There are required online activities and assignments each week. Computer with webcam and microphone desirable for online meetings, but phone in, is also an option. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.
Online Participation Required First Week of Class.|Note: This course has been converted to Completely Online-Synchronous.|Online Participation Required First Week of Class."
ACCT-320 -01 000363,Strategic Management Accounting,4, LCTR (SYNC),"Baig, Zeeshan M",08/27/2020–12/10/2020 6:00PM–9:20PM, H , ,Y,27,32,'00002119',Y,O,Accounting,Undergraduate,ACCT-Accounting,,,"Online Participation Required First Week of Class.|Note: Refer to the course syllabus located in the Content section of the course D2L Web site and prepare the assignment for the first class meeting. This is a synchronous (we&nbsp;meet together&nbsp;online&nbsp;via Zoom) course on&nbsp;Thursdays from 6:00 p.m. to 9:20 p.m.&nbsp;starting Aug. 27 and ending Dec. 10. Refer to the course syllabus located in the Content section of the course D2L Web site and prepare the assignment for the first class meeting.This is a completely online course, not an independent study. Course has no required in-person meetings. There are required online activities and assignments each week. Computer with webcam and microphone desirable for online meetings, but phone in, is also an option. Intermediate computer/Internet skills required. For online learning and course access information go to www.metrostate.edu/solr.
Online Participation Required First Week of Class.|Note: This course has been converted to Completely Online-Synchronous."
