ANTH-329 -01 000989,Race and Ethnicity: Sociological and Anthropological Perspectives,4,ANTH-Anthropology
CJS-360 -01 000314,Diversity in Criminal Justice,4,CJS-Criminal Justice
CJS-360 -02 000315,Diversity in Criminal Justice,4,CJS-Criminal Justice
CJS-360 -50 000316,Diversity in Criminal Justice,4,CJS-Criminal Justice
CJS-360 -51 000317,Diversity in Criminal Justice,4,CJS-Criminal Justice
CJS-360 -52 000318,Diversity in Criminal Justice,4,CJS-Criminal Justice
COMM-233 -01 001045,Introduction to Intercultural Communication,3,COMM-Communication
COMM-372 -01 001054,Health Communication,4,COMM-Communication
COMM-372 -02 001055,Health Communication,4,COMM-Communication
COMM-372 -03 001056,Health Communication,4,COMM-Communication
COMM-372 -04 001186,Health Communication,4,COMM-Communication
COMM-372 -51 001268,Health Communication,4,COMM-Communication
ECON-315 -50 000464,Economics of Diversity,4,ECON-Economics
EDU-451 -01 000024,Immigrants and Refugees in Urban Schools,3,EDU-Education
ETHS-100 -01 001210,Introduction to Ethnic Studies,4,ETHS-Ethnic Studies
ETHS-200 -22 001368,"Theories of Race, Ethnicity and Culture",4,ETHS-Ethnic Studies
ETHS-200 -50 001212,"Theories of Race, Ethnicity and Culture",4,ETHS-Ethnic Studies
ETHS-232 -01 000936,American Indians in Minnesota,2,ETHS-Ethnic Studies
ETHS-244 -01 000949,African Americans in Minnesota,2,ETHS-Ethnic Studies
ETHS-250 -21 001214,Latino/Hispanic Cultural Competency: Introductory Concepts,4,ETHS-Ethnic Studies
ETHS-302 -01 000937,Immigrant Communities and the Trajectories of Othering,4,ETHS-Ethnic Studies
ETHS-306 -01 000952,Politics of Mixed Racial Identity,4,ETHS-Ethnic Studies
ETHS-311 -50 000941,Understanding Racial and Ethnic Groups in the United States,4,ETHS-Ethnic Studies
ETHS-311 -51 000956,Understanding Racial and Ethnic Groups in the United States,4,ETHS-Ethnic Studies
ETHS-315 -01 000955,Color of Incarceration,4,ETHS-Ethnic Studies
ETHS-318 -50 000963,"Trauma and Traumascapes: Identity, Legacy, and Memory",4,ETHS-Ethnic Studies
ETHS-324 -50 000953,"Race, Identity, and the Internet",4,ETHS-Ethnic Studies
ETHS-370 -01 001213,Black Thought,4,ETHS-Ethnic Studies
GNDR-201 -01 000975,Introduction to Gender and Women's Studies,4,GNDR-Gender Studies
GNDR-270 -01 000976,"Gender, Race and Popular Culture",3,GNDR-Gender Studies
GNDR-365 -01 000977,The Cultural Politics of LGBT Sexuality,4,GNDR-Gender Studies
GNDR-367 -01 000978,Transgender Identities,4,GNDR-Gender Studies
GNDR-375 -50 000979,Intersectionality,4,GNDR-Gender Studies
HIST-312 -01 001072,Beginnings of American Society: Colonial and Revolutionary History,4,HIST-History
HIST-315 -01 001071,The Civil Rights Movement in the 1960s,4,HIST-History
HIST-336 -01 001074,"From Roosevelt to Reagan: American History, 1932-1980",4,HIST-History
HIST-336 -50 001208,"From Roosevelt to Reagan: American History, 1932-1980",4,HIST-History
HRM-335 -50 000499,Understanding and Addressing Race in the Workplace,4,HRM-Human Resource Management
HSFS-341 -01 000134,Work and Family,4,HSFS-Human Services/Family Studies
HUM-364 -50 000856,The Harlem Renaissance,4,HUM-Humanities
HUM-364 -51 001223,The Harlem Renaissance,4,HUM-Humanities
IDST-370 -01 000717,"Cinema, Self and Other",4,IDST-Interdisciplinary Studies
LIT-312 -01 000884,Women Writers,4,LIT-Literature
LIT-361 -01 000893,African-American Literature,4,LIT-Literature
LIT-362 -50 000894,Black Women Writers,4,LIT-Literature
MGMT-360 -01 000633,Managing a Diverse Workforce,4,MGMT-Management
MGMT-360 -02 000634,Managing a Diverse Workforce,4,MGMT-Management
MGMT-360 -50 000635,Managing a Diverse Workforce,4,MGMT-Management
MGMT-360 -51 000636,Managing a Diverse Workforce,4,MGMT-Management
MGMT-360 -52 000637,Managing a Diverse Workforce,4,MGMT-Management
MGMT-360 -53 000638,Managing a Diverse Workforce,4,MGMT-Management
MGMT-360 -54 000639,Managing a Diverse Workforce,4,MGMT-Management
MGMT-360 -55 001280,Managing a Diverse Workforce,4,MGMT-Management
PHIL-306 -01 000886,Philosophy and Sexuality,4,PHIL-Philosophy
PHIL-366 -01 000863,Race and Racism: Philosophical Problems,4,PHIL-Philosophy
PHIL-366 -02 001113,Race and Racism: Philosophical Problems,4,PHIL-Philosophy
PSYC-212 -01 000214,Introduction to Diversity and Ethics in Psychology,3,PSYC-Psychology
PSYC-212 -02 000215,Introduction to Diversity and Ethics in Psychology,3,PSYC-Psychology
PSYC-212 -03 000216,Introduction to Diversity and Ethics in Psychology,3,PSYC-Psychology
PSYC-212 -50 000217,Introduction to Diversity and Ethics in Psychology,3,PSYC-Psychology
PSYC-212 -51 000782,Introduction to Diversity and Ethics in Psychology,3,PSYC-Psychology
PSYC-328 -21 000242,Psychology of African Americans,4,PSYC-Psychology
PSYC-356 -01 000259,Early Childhood Development within a Social/Cultural and Historical Context,3,PSYC-Psychology
PSYC-368 -01 000783,Psychology of the LGBTQ Community,4,PSYC-Psychology
RELS-306 -01 000945,The Spiritual Journey,4,RELS-Religious Studies
RELS-306 -50 001215,The Spiritual Journey,4,RELS-Religious Studies
SOC-101 -01 001001,Introduction to Sociology,3,SOC-Sociology
SOC-101 -02 001002,Introduction to Sociology,3,SOC-Sociology
SOC-301 -01 001003,Contemporary Sociology,4,SOC-Sociology
SOC-306 -01 001007,Deviance and Social Control,4,SOC-Sociology
SOC-329 -01 001009,Race and Ethnicity: Sociological and Anthropological Perspectives,4,SOC-Sociology
SSCI-100 -01 001011,Intro to Social Science: Learning Community: Connect. Explore. Decide.,4,SSCI-Social Science
WRIT-300 -01 001146,"Creative Writers, Identity and Race in the Twin Cities",4,WRIT-Writing
