"id","name"
"1","Accounting BS"
"2","Adult Basic Education Certificate"
"3","Advanced Dental Therapy MSADT"
"4","Advertising Minor"
"5","Advocacy and Leadership Track, Social Science BA"
"6","Advocacy and Political Leadership MAPL"
"7","Aging Studies/Gerontology Minor"
"8","Alcohol and Drug Counseling BS"
"9","Alcohol and Drug Recovery Counseling MS"
"10","Anthropology Minor"
"11","Anthropology Track, Social Science BA"
"12","Applied Statistics Minor"
"13","Biochemistry BS"
"14","Biology BA"
"15","Biology BS"
"16","Biology Minor"
"17","Business Administration BS"
"18","Business Administration DBA"
"19","Business Administration MBA"
"20","Business Administration Minor"
"21","Business Analytics GCERT"
"22","Business Analytics Minor"
"23","Chemistry BS"
"24","Chemistry Minor"
"25","Child Psychology Minor"
"26","Civic Engagement Minor"
"27","Co-occurring Disorders Recovery Counseling MS"
"28","Community and Applied Social Psychology Minor"
"29","Community Organizing and Development Minor"
"30","Computer Application Development BAS"
"31","Computer Forensics BAS"
"32","Computer Forensics Minor"
"33","Computer Forensics Post-baccalaureate UCERT"
"34","Computer Information Technology BS"
"35","Computer Science BS"
"36","Computer Science MS"
"37","Computer Science PSM"
"38","Creative Writing BA"
"39","Creative Writing Minor"
"40","Criminal Justice BA"
"41","Criminal Justice Minor"
"42","Criminal Justice MS"
"43","Cyber Operations MS"
"44","Cybersecurity  Post-baccalaureate UCERT"
"45","Cybersecurity BS"
"46","Cybersecurity Minor"
"47","Data Science BS"
"48","Database Administration GCERT"
"49","Dental hygiene BSDH"
"50","Design of User Experience GCERT"
"51","Design of User Experience Minor"
"52","Digital Media Minor"
"53","Disability Studies Minor"
"54","Early Childhood Studies BAS"
"55","Economics BS"
"56","Economics Minor"
"57","Educational Psychology Minor"
"58","Electronic Discovery Minor"
"59","English as a Second Language Minor"
"60","English BA"
"61","English for Teaching BS"
"62","English Minor"
"63","Entrepreneurship and Innovation BS"
"64","Entrepreneurship and Innovation Minor"
"65","Environmental Communication Minor"
"66","Environmental Science BS"
"67","Ethnic Studies BA"
"68","Ethnic Studies Minor"
"69","Evidence-Based Practices in Corrections Certificate"
"70","Family Nurse Practitioner DNP"
"71","Family Studies Minor"
