major,requiredClasses
Accounting BS,"['ACCT 210 Financial Accounting', 'ECON 201 Macroeconomics', 'ECON 202 Microeconomics', 'MATH 115 College Algebra', 'MIS 100 Fundamentals of Information Technology in Organizations', 'STAT 201 Statistics I', 'DSCI 434 Introduction to Operations Management', 'FIN 390 Principles of Finance', 'MGMT 310 Management Principles and Practices', 'MIS 310 Principles of Management Information Systems', 'MKTG 300 Marketing Principles', 'ACCT 311 Intermediate Accounting I', 'ACCT 312 Intermediate Accounting II', 'ACCT 320 Strategic Management Accounting', 'ACCT 340 Accounting Information Systems', 'ACCT 510 Advanced Accounting', 'ACCT 512 Auditing', 'ACCT 520 Advanced Strategic Management Accounting', 'ACCT 530 Business Taxation', 'MGMT 499 Case Studies in Strategic Management', 'ACCT 515 Financial Statement Analysis', 'ACCT 515 Financial Statement Analysis', 'BLAW 310 Business Law:  UCC and Contracts']"
Adult Basic Education Certificate,"['ADED 620 Introduction to Adult Literacy', 'ADED 640 Methods and Strategies of Teaching Adult Literacy', 'ADED 660 Informal and Formal Assessment in Adult Literacy', 'ADED 690 Field Experience']"
Advanced Dental Therapy MSADT,"['DENH 420 Restorative Functions Theory and Lab', 'DENH 610 Assessment and Treatment Planning', 'DENH 620 Pharmacological Principles in Practice', 'DENH 640 Restorative Dentistry I', 'DENH 650 Pediatric Dentistry', 'DENH 680 Restorative Dentistry III', 'DENH 685 Oral Health Literacy and Communication', 'DENH 690 Primary Oral Health Care II: Rotations', 'DENH 695 Community-Based Externship', 'DENH 698 Comprehensive Competency-Based Capstone', 'NURS 605 Health Policy and Leadership', 'HSCI 648 Designing for Quality in Health Care']"
Advertising Minor,"['MKTG 300 Marketing Principles', 'MKTG 310 Consumer and Professional Buyer Behavior', 'MKTG 343 Integrated Marketing Communications', 'MKTG 348 Advertising Copywriting, Design and Production', 'WRIT 373 Writing and Designing for the Web I']"
"Advocacy and Leadership Track, Social Science BA","['POL 311 Community Organizing and Social Action', 'SOC 311 Community Organizing and Social Action', 'POL 312 Advocacy for Policy Change', 'SOC 302 Interpersonal and Social Power:  A View from Below', 'SSCI 300 Seeing Like a Social Scientist', 'SSCI 311 Research Methods in Social Science', 'SSCI 501 Great Ideas:  Classics of Social Science', 'SSCI 451 Empirical Research Capstone', 'SSCI 452 Conceptual Research Capstone', ""POL 342 Lobbying:  A Citizen's Guide to the Legislative Process"", 'POL 305 Elections and Political Parties', 'SOC 309 Homelessness:  Critical Issues for Policy and Practice', 'POL 381 Community Leadership: Principles and Approaches', 'SOC 381 Community Leadership: Principles and Approaches']"
Advocacy and Political Leadership MAPL,"['MAPL 610 Political Process and Public Policy', 'MAPL 611 Political and Advocacy Leadership', 'MAPL 612 Organizing and Communication for Advocacy', 'MAPL 613 Policy Evaluation ', 'MAPL 650I Masters in Advocacy and Political Leader Internship', 'MAPL 620 Nonprofits as Agents of Democracy', 'MAPL 621 Advocacy, Organizing and Lobbying in the Nonprofit Sector                 ', 'MAPL 630 Labor Organizing', 'MAPL 660 The Impact of Art on Social Change Movements', 'MAPL 661 Ethics in Policy, Politics and Advocacy', 'MAPL 662 The Legal System and Public Policy', 'MAPL 668 Topics in Advocacy', 'MAPL 667 Organizing and Advocacy in the Digital Age', 'MAPL 671 Public Interest Negotiation', 'MAPL 640 Advocacy in the Public Sector: Service in the Elective Branch', 'MAPL 641 Advocacy in the Public Sector:  Service in the Executive Branch', 'MAPL 661 Ethics in Policy, Politics and Advocacy', 'MAPL 662 The Legal System and Public Policy', 'MAPL 663 Campaigns and Elections', 'MAPL 668 Topics in Advocacy', 'MAPL 667 Organizing and Advocacy in the Digital Age', 'MAPL 671 Public Interest Negotiation', 'MAPL 630 Labor Organizing', 'MAPL 631 Labor and the Political Economy', 'MAPL 621 Advocacy, Organizing and Lobbying in the Nonprofit Sector                 ', 'MAPL 660 The Impact of Art on Social Change Movements', 'MAPL 661 Ethics in Policy, Politics and Advocacy', 'MAPL 662 The Legal System and Public Policy', 'MAPL 668 Topics in Advocacy', 'MAPL 667 Organizing and Advocacy in the Digital Age', 'MAPL 671 Public Interest Negotiation']"
Aging Studies/Gerontology Minor,"['HSG 374 Aging in America:  A Personal Challenge', 'HSG 376 Mental Health and Aging', 'HSG 377 Physical Health and Aging', 'HSG 380 Aging:  Planning and Policy Making', 'HSG 383 Selected Topics in Gerontology', 'HSG 384 Civic Engagement in Later Life']"
Alcohol and Drug Counseling BS,"['HSCD 200 Pharmacology of Addictive Drugs', 'HSCD 300 Introduction to Substance Use Disorders ', 'HSCD 303 Racial and Cultural Considerations for Alcohol and Drug Counseling', 'HSCD 302 Assessment of Substance Use Disorders', 'HSCD 306 Prevention of Substance Use Problems', 'HSER 346 Counseling and Interviewing Skills', 'HSCD 353 Case Management for Alcohol and Drug Counseling', 'HSER 368 Understanding and Using Research for the Practitioner', 'HSER 348 Group Counseling', 'HSCD 309 Co-Occurring Disorders:  Substance Use and Mental Health', 'HSCD 400 Best Practices in Drug and Alcohol Counseling', 'HSCD 450 Senior Seminar:  Alcohol and Drug Counseling', 'HSCD 320 Alcohol and Drug Counseling Pre-Practicum Seminar', 'HSCD 380 Alcohol and Drug Counseling Group Practicum I', 'HSCD 390 Alcohol and Drug Counseling Group Practicum II', 'HSCD 308 Adolescent Substance Use Disorders', 'HSER 350 Issues in Adolescent Counseling', 'HSCD 301 Substance Use and the Family', 'HSCD 304 Substance Use and Native Americans', 'HSER 354 Ethical Issues in Human Services', 'PSYC 343 Drugs and Behavior:  An Introduction to Behavioral Pharmacology']"
Alcohol and Drug Recovery Counseling MS,"['HSCD 580G Introduction to Counseling', 'HSCD 590G Introduction to Substance Use and Co-occurring Disorders', 'HSCD 600 Foundations, Models and Evidence-Based Practices', 'HSCD 601 Cognitive Behavioral and Trauma-Informed Strategies', 'HSCD 602 Advanced Motivational Interviewing: Practice and Supervision', 'HSCD 650 Evaluation and Utilization of Research', 'HSCD 603 Ethics and Professional Practice', 'HSCD 610 Evidence-Based Group Counseling', 'HSCD 611 Culturally Responsive and Anti-Oppressive Practice', 'HSCD 620 Psychopharmacology', 'HSCD 630 Integrated Care: Screening and Assessment', 'HSCD 631 Integrated Care: Treatment and Recovery Planning', 'HSCD 632 Integrated Care: Harm Reduction and Case Management', 'HSCD 640 Clinical Supervision', 'PSYC 611 Advanced Lifespan Developmental Psychology', 'PSYC 648 Psychopathology', ""HSCD 651 Master's Project Seminar"", 'HSCD 681 Practicum I', 'HSCD 682 Practicum II', 'HSCD 612 Family Counseling', 'HSCD 613 Career Development Theory and Practice', 'PSYC 602 Prevention Theories and Strategies', 'PSYC 618 Program Evaluation']"
Anthropology Minor,"['ANTH 101 Human Origins', 'ANTH 301 Approaches to Cultural Anthropology', 'ANTH 302 Gender and Culture']"
