name,description,credits
ACCT-210,Financial Accounting,4
ACCT-311,Intermediate Accounting I,4
ACCT-312,Intermediate Accounting II,4
ACCT-320,Strategic Management Accounting,4
ACCT-340,Accounting Information Systems,4
ACCT-510,Advanced Accounting,4
ACCT-512,Auditing,4
ACCT-520,Advanced Strategic Management Accounting,4
ACCT-530,Business Taxation,4
ACCT-620,Management Accounting,4
ANTH-101,Human Origins,3
ANTH-301,Approaches to Cultural Anthropology,4
ANTH-302,Gender and Culture,4
ANTH-304,Anthropology of Religion,4
ANTH-308,Archaeology: Explaining the Past,4
ANTH-329,Race and Ethnicity: Sociological and Anthropological Perspectives,4
ARTS-106,Introduction to Drawing,4
ARTS-115,Introduction to Photography,4
ARTS-203,Introduction to Digital Arts,4
ARTS-301,Current Topics: Alternative Photo Processes,2
ARTS-302,Exhibition Practices,2
ARTS-306,Intermediate Drawing,4
ARTS-307,Intermediate Painting,4
ARTS-319,Topics in Printmaking: Relief,4
ARTS-320,Topics in Clay: Wheel-Throwing,3
ARTS-350I,Arts Individualized Internship,3
ARTS-360I,Traditional and Virtual Environmental Watercolor Techniques,4
ARTS-400,Capstone Seminar,4
BIOL-105,Human Biology,4
BIOL-107,"Biology, Race, and Racism",4
BIOL-111,General Biology I,4
BIOL-112,General Biology II,4
BIOL-211,Principles of Genetics,4
BIOL-221,Human Anatomy and Physiology I,0
BIOL-221L,Human Anatomy and Physiology I Lab,4
BIOL-222,Human Anatomy and Physiology II,0
BIOL-222L,Human Anatomy and Physiology II Lab,4
BIOL-225,Basic Microbiology,0
BIOL-225L,Basic Microbiology Lab,5
BIOL-302,Cell Biology and Histology,5
BIOL-304,Molecular Biology,5
BIOL-307,Biochemistry,5
BIOL-310,Ecology,5
BIOL-312,Evolution,5
BIOL-320,Ecosystem and Global Ecology,5
BIOL-324,Invertebrate Biology,5
BIOL-330,Biology of Microorganisms,3
BIOL-415,Pollution Ecology,1
BIOL-469,Seminars in Biology,3
BIOL-479,Advanced Topics in Biology: Comparative Vertebrate Anatomy,2
BIOL-489,Senior Research in Biology,4
BLAW-310,Business Law: UCC and Contracts,4
BLAW-320,Legal Environment of Organizations,4
BLAW-430,Marketing and Advertising Law,4
CFS-262,Computer and Operating Systems Fundamentals I,4
CFS-264,Computer and Operating Systems Fundamentals II,4
CFS-280,Introduction to Computer Forensics,4
CFS-345,Electronic Discovery I,4
CFS-380,Digital Evidence Analysis,4
CFS-484,Computer Laws,4
CHEM-105,"Survey of General, Organic, and Biochemistry",0
CHEM-105L,"Survey of General, Organic, and Biochemistry",4
CHEM-107,"Chemistry, Society and the Environment",4
CHEM-111,General Chemistry I,4
CHEM-112,General Chemistry II,4
CHEM-231,Organic Chemistry I,1
CHEM-231L,Organic Chemistry I Lab,3
CHEM-325,Biochemistry I: Biomolecule Structure and Function,2
CHEM-327,Biochemistry Laboratory,4
CHEM-332,Organic Chemistry II,1
CHEM-332L,Organic Chemistry II Lab,5
CHEM-341,Quantitative Analysis,5
CHEM-350I,Evaluations in Electroforming Thickness,3
CHEM-425,Polymer Chemistry and Dynamics,5
CHEM-441,Instrumental Analysis,1
CHEM-469,Seminars in Chemistry,3
CHEM-479,Special Topics: Polymer Chemistry and Dynamics,2
