Sub/Nr,Title,Cr,FilterSubject,GELS
ACCT-210 -01 000344,Financial Accounting,4,ACCT-Accounting,
ACCT-210 -50 000346,Financial Accounting,4,ACCT-Accounting,
ACCT-210 -51 000349,Financial Accounting,4,ACCT-Accounting,
ACCT-210 -52 001116,Financial Accounting,4,ACCT-Accounting,
ACCT-210 -53 001250,Financial Accounting,4,ACCT-Accounting,
ACCT-311 -01 000358,Intermediate Accounting I,4,ACCT-Accounting,
ACCT-311 -02 000359,Intermediate Accounting I,4,ACCT-Accounting,
ACCT-311 -03 000360,Intermediate Accounting I,4,ACCT-Accounting,
ACCT-312 -01 000361,Intermediate Accounting II,4,ACCT-Accounting,
ACCT-312 -02 001117,Intermediate Accounting II,4,ACCT-Accounting,
ACCT-320 -01 000363,Strategic Management Accounting,4,ACCT-Accounting,
ACCT-320 -50 000364,Strategic Management Accounting,4,ACCT-Accounting,
ACCT-320 -51 000365,Strategic Management Accounting,4,ACCT-Accounting,
ACCT-340 -01 000366,Accounting Information Systems,4,ACCT-Accounting,
ACCT-510 -01 000368,Advanced Accounting,4,ACCT-Accounting,
ACCT-510 -02 000369,Advanced Accounting,4,ACCT-Accounting,
ACCT-512 -01 000370,Auditing,4,ACCT-Accounting,
ACCT-512 -02 000371,Auditing,4,ACCT-Accounting,
ACCT-520 -01 000373,Advanced Strategic Management Accounting,4,ACCT-Accounting,
ACCT-520 -50 001088,Advanced Strategic Management Accounting,4,ACCT-Accounting,
ACCT-530 -01 000374,Business Taxation,4,ACCT-Accounting,
ACCT-530 -02 000375,Business Taxation,4,ACCT-Accounting,
ACCT-620 -01 000376,Management Accounting,4,ACCT-Accounting,
ACCT-620 -21 001221,Management Accounting,4,ACCT-Accounting,
ACCT-620 -50 000379,APCU: Management Accounting,4,ACCT-Accounting,
ANTH-101 -01 000980,Human Origins,3,ANTH-Anthropology,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
ANTH-101 -02 000981,Human Origins,3,ANTH-Anthropology,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
ANTH-101 -03 000982,Human Origins,3,ANTH-Anthropology,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
ANTH-101 -50 000983,Human Origins,3,ANTH-Anthropology,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
ANTH-101 -51 001220,Human Origins,3,ANTH-Anthropology,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|People/Environment (10 ENVI)
ANTH-301 -50 000984,Approaches to Cultural Anthropology,4,ANTH-Anthropology,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Global Perspective (08 GLOB)
ANTH-302 -01 000985,Gender and Culture,4,ANTH-Anthropology,Minnesota Transfer Curriculum/GELS Goals: Hist/Soc/Behav Sci (05 HIST)|Global Perspective (08 GLOB)
